Tool,Variant,Benchmark,Mean,Std
IEEE, ,MNIST,14.008,0.00748331477354772
IEEE, ,FastSurfer,8915.90316,3226.24737329957
IEEE, ,WavLM,15.2373588235294,0.366332042843902
Verrou,CESTAC,MNIST,4360.818,181.068197030842
Verrou,CESTAC,FastSurfer,1912351.282936,845.213126317824
Verrou,CESTAC,WavLM,5543.05627941177,32.9969965318555
Verrou,SR,MNIST,4697.5544,306.648222999971
Verrou,SR,FastSurfer,1762308.7441,23405.5455493351
Verrou,SR,WavLM,6386.6911,21.0199399323829
PRISM,SR,MNIST,152.343,2.2774149380383
PRISM,SR,FastSurfer,36284.063996,3520.68509462889
PRISM,SR,WavLM,809.629529411765,13.8568360697087
PRISM,UD,MNIST,111.2156,1.76808219265961
PRISM,UD,FastSurfer,32352.16378,4463.14462591355
PRISM,UD,WavLM,980.929176470588,30.6105490666848
